symbol	occurrences	files	first_location	disposition	binary_name_evidence	evidence_reports	action
BackItemLess_guess	2	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:216	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
BackItemSet_guess	2	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:225	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
BezierPatchEvaluator_guess	2	cpp/plugins/motionplayer/MotionBezierPatch.h	cpp/plugins/motionplayer/MotionBezierPatch.h:17	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
ClearTextureHolder_guess	2	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:1439	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
CopiedOnlyTrailingWord_guess	3	cpp/plugins/motionplayer/MotionNode.h	cpp/plugins/motionplayer/MotionNode.h:211	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess	analysis/motionplayer_motionnode_source_order_four_binary_2026-08-27.md	retain
CubicBezierBasisTable_guess	3	cpp/plugins/motionplayer/MotionRenderBackend.h; cpp/plugins/motionplayer/main.cpp	cpp/plugins/motionplayer/MotionRenderBackend.h:25	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
CubicBezierWeights_guess	7	cpp/plugins/motionplayer/MotionLayerExtensions.cpp	cpp/plugins/motionplayer/MotionLayerExtensions.cpp:257	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
D3DModuleBase_guess	4	cpp/plugins/DrawDeviceD3D.cpp; cpp/plugins/motionplayer/D3DEmoteModule.h	cpp/plugins/DrawDeviceD3D.cpp:271	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
D3DPoint_guess	6	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:674	PRESERVE_NO_SOURCE_NAME_EVIDENCE	Semantic body/layout evidence exists where mapped; no trustworthy four-target source-level identifier evidence authorizes removing _guess		retain
D3DRenderManagerTestOverride_guess	4	cpp/plugins/DrawDeviceD3D.cpp	cpp/plugins/DrawDeviceD3D.cpp:46	TEST_ONLY_LOCAL_LABEL	Unregistered test seam; not a claimed reference source identifier		retain
