task_id	description	slice_id	fixture_disposition	test_cases	test_locations	rationale	remaining_gap
MP-A01	恢复 `motionplayer.dll` 静态 registrar、模块注册、重复注册和卸载边界	MP-F01-ROOT-01	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; Plugins link is a direct module-key load and unlink remains a true no-op	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:8570	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A01	恢复 `motionplayer.dll` 静态 registrar、模块注册、重复注册和卸载边界	MP-F03-NCB-SURFACE-LEDGER	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; DrawDeviceD3D exposes the seven-class reference surface	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:8782	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A02	恢复 `emoteplayer.dll` 预注册回调、模块依赖、注册顺序和失败边界	MP-A16-EMOTEPLAYER-NCB-SURFACE	REUSED_EXISTING_FIXTURE	Motion.EmotePlayer typed Factory requires arg0 and preserves the Void sentinel; Motion EmotePlayer Boolean properties preserve one-way trigger semantics; Motion EmotePlayer late timeline surfaces bind Engine members	tests/unit-tests/plugins/motionplayer-dll.cpp:15346; tests/unit-tests/plugins/motionplayer-dll.cpp:28985; tests/unit-tests/plugins/motionplayer-dll.cpp:29919	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A03	恢复模块名大小写处理、`Plugins.link`、autoload 和已注册模块集合关系	MP-A03-MODULE-LOADER-PLUGINS-AUTOLOAD-REGISTERED-SET	REUSED_EXISTING_FIXTURE	Plugins link is a direct module-key load and unlink remains a true no-op; indexed and registered plugin names do not synthesize Storages paths; autoload passes its complete Path and discovered Name as the module key	tests/unit-tests/plugins/motionplayer-dll.cpp:8570; tests/unit-tests/plugins/motionplayer-dll.cpp:8658; tests/unit-tests/plugins/motionplayer-dll.cpp:8684	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A04	穷举二进制中两个模块实际注册的类、常量、属性、方法及精确字符串	MP-F03-NCB-SURFACE-LEDGER	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; DrawDeviceD3D exposes the seven-class reference surface	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:8782	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A04	穷举二进制中两个模块实际注册的类、常量、属性、方法及精确字符串	MP-A14-REG-01	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction	tests/unit-tests/plugins/motionplayer-dll.cpp:14971	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A05	对比本地注册表，找出多注册、少注册、错误绑定、顺序差异和 dead-strip 成员	MP-F03-NCB-SURFACE-LEDGER	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; DrawDeviceD3D exposes the seven-class reference surface	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:8782	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A05	对比本地注册表，找出多注册、少注册、错误绑定、顺序差异和 dead-strip 成员	MP-A11-PLAYER-REG	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; Motion.Player NCB constructor preserves sentinel and first-argument ownership	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:15107	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A05	对比本地注册表，找出多注册、少注册、错误绑定、顺序差异和 dead-strip 成员	MP-A16-EMOTEPLAYER-NCB-SURFACE	REUSED_EXISTING_FIXTURE	Motion.EmotePlayer typed Factory requires arg0 and preserves the Void sentinel; Motion EmotePlayer Boolean properties preserve one-way trigger semantics; Motion EmotePlayer late timeline surfaces bind Engine members	tests/unit-tests/plugins/motionplayer-dll.cpp:15346; tests/unit-tests/plugins/motionplayer-dll.cpp:28985; tests/unit-tests/plugins/motionplayer-dll.cpp:29919	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A06	`BezierPatch` 附着到 `Layer` 的方法表和包装 ABI	MP-A15-BEZIER-LAYER-EXTENSIONS-NCB-SURFACE	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; Bezier patch basis and accumulation keep scalar operation order; Mesh and Bezier renderers share one clip hint quartet	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:6766; tests/unit-tests/plugins/motionplayer-dll.cpp:7136	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A07	`MotionLayerExtensions` 的注册、hook、附着对象与生命周期	MP-A15-BEZIER-LAYER-EXTENSIONS-NCB-SURFACE	REUSED_EXISTING_FIXTURE	Motion root NCB surface preserves registrar order and dummy construction; Bezier patch basis and accumulation keep scalar operation order; Mesh and Bezier renderers share one clip hint quartet	tests/unit-tests/plugins/motionplayer-dll.cpp:14971; tests/unit-tests/plugins/motionplayer-dll.cpp:6766; tests/unit-tests/plugins/motionplayer-dll.cpp:7136	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A08	`SourceCache`、`ObjSource` 的类注册、工厂和返回对象所有权	MP-A12-SOURCECACHE-OBJSOURCE-NCB-SURFACE	REUSED_EXISTING_FIXTURE	Motion.SourceCache NCB constructor is default-only and ignores surplus arguments; Motion.ObjSource NCB constructor publishes the empty raw-node facade	tests/unit-tests/plugins/motionplayer-dll.cpp:15826; tests/unit-tests/plugins/motionplayer-dll.cpp:15894	An existing local unit fixture already exercises the expressible contract	Native/ADB/Wasmtime oracle strength and execution remain separate MP-V work
MP-A09	`Point`、`Circle`、`Rect`、`Quad` 的构造、属性和 `contains` 边界	MP-A09-REG-POINT	ADDED_EXISTING_FIXTURE_TEST	geometry facades preserve type-only defaults and initialized shared getters	tests/unit-tests/plugins/motionplayer-dll.cpp:22410	A stable boundary was expressible with the existing motionplayer unit-test TU and no new material	Deliberately uninitialized coordinates remain unasserted; formal unit execution is MP-V07
MP-A09	`Point`、`Circle`、`Rect`、`Quad` 的构造、属性和 `contains` 边界	MP-A09-REG-CIRCLE	ADDED_EXISTING_FIXTURE_TEST	geometry facades preserve type-only defaults and initialized shared getters	tests/unit-tests/plugins/motionplayer-dll.cpp:22410	A stable boundary was expressible with the existing motionplayer unit-test TU and no new material	Deliberately uninitialized coordinates remain unasserted; formal unit execution is MP-V07
MP-A09	`Point`、`Circle`、`Rect`、`Quad` 的构造、属性和 `contains` 边界	MP-A09-REG-RECT	ADDED_EXISTING_FIXTURE_TEST	geometry facades preserve type-only defaults and initialized shared getters	tests/unit-tests/plugins/motionplayer-dll.cpp:22410	A stable boundary was expressible with the existing motionplayer unit-test TU and no new material	Deliberately uninitialized coordinates remain unasserted; formal unit execution is MP-V07
MP-A09	`Point`、`Circle`、`Rect`、`Quad` 的构造、属性和 `contains` 边界	MP-A09-REG-QUAD	ADDED_EXISTING_FIXTURE_TEST	geometry facades preserve type-only defaults and initialized shared getters	tests/unit-tests/plugins/motionplayer-dll.cpp:22410	A stable boundary was expressible with the existing motionplayer unit-test TU and no new material	Deliberately uninitialized coordinates remain unasserted; formal unit execution is MP-V07
