task_id	description	status	coverage_slices	analysis_reports	verification	remaining_gap
MP-F01	固定 motionplayer 根入口和范围边界 | 列出两个 NCB 模块的注册入口、静态初始化入口、类注册入口；明确依赖闭包规则和排除规则	CLOSED_STATIC	MP-F01-ROOT-01; MP-F01-ROOT-02; MP-F01-ROOT-03	analysis/motionplayer_reconstruction_scope_and_roots_four_binary_2026-08-26.md; analysis/motionplayer_emoteplayer_module_decrypt_root_four_binary_2026-08-27.md; analysis/motionplayer_drawdevice_d3d_dependency_root_four_binary_2026-08-27.md	Four roots and exclusion rules have four-target evidence; IDBs saved	No static scope/root gap; formal build remains separate MP-V work
MP-F02	核对四端目标与 IDB 身份 | 四个二进制、四个 `.i64`、架构、imagebase、Hex-Rays 状态一一对应；任何缺失都阻塞后续取证	CLOSED_STATIC	MP-F01-ROOT-01; MP-F01-ROOT-02; MP-F01-ROOT-03	analysis/motionplayer_reconstruction_scope_and_roots_four_binary_2026-08-26.md	Four binaries and four matching IDBs were identity-checked	No target/IDB identity gap
MP-F03	建立四端函数等价类总账 | 每一行是一个语义实体，包含四端函数名/地址/状态：已定位、内联、dead-strip、缺失或待定位	CLOSED_STATIC	MP-F03-NCB-SURFACE-LEDGER; MP-F03-ROOT-REACHABLE-FUNCTION-LEDGER	analysis/motionplayer_ncb_equivalence_ledger_2026-08-27.md; analysis/motionplayer_v09_v15_crosscutting_final_audit_2026-08-28.md; analysis/motionplayer_v09_v15_audit_summary.tsv	The 316-row NCB denominator is reproducible and all 139 original MP-A/L/C/D/R/G/B tasks map through 306 associations to 159 unique terminal four-target slices	No static function-denominator gap in the tasks.md scope; MP-V04 is verified and the two terminal external-evidence blockers are tracked by MP-V03 and MP-V05
MP-F04	建立对象与类型总账 | 类、基类、vtable、构造/析构、字段族、容器、全局静态对象、owner/borrowed 边全部入账	CLOSED_STATIC	MP-F04-OBJECT-VTABLE-CONTAINER-OWNER-LEDGER	analysis/motionplayer_v09_v15_crosscutting_final_audit_2026-08-28.md; analysis/motionplayer_v09_v15_audit_summary.tsv; analysis/motionplayer_tasks_status.tsv	All 16 MP-L and 16 MP-C original tasks have one-to-one task mappings covering 50 unique terminal four-target object/owner/container slices	No static object-ledger gap; unavailable destruction/reentry fault-injection material remains explicitly recorded by MP-V02
MP-F05	索引现有 649 份分析报告 | 把现有报告映射到函数/对象总账；区分已闭合、部分闭合、被后续证据纠正、重复和仅导航性报告	CLOSED_STATIC	MP-F05-REPORT-STATUS-RECONCILIATION	analysis/motionplayer_coverage_status_reconciliation_2026-08-27.md; analysis/motionplayer_v09_v15_crosscutting_final_audit_2026-08-28.md; analysis/motionplayer_tasks_status.tsv	All 163 original tickets are indexed; every static business task has direct coverage/report mappings and nonterminal verification tasks retain explicit gaps	No report-index gap; the old overbroad final-closure claim remains superseded by the current per-ticket ledger
MP-F06	建立本地实现映射 | 每个语义实体映射到本地文件、函数、测试和分析报告；没有对应实现时只能标为“待核实”，不能根据一次空搜索断言缺失	CLOSED_STATIC	MP-F06-LOCAL-IMPLEMENTATION-TEST-MAP	analysis/motionplayer_tasks_status.tsv; analysis/motionplayer_vertical_test_matrix.tsv; analysis/motionplayer_fixture_decisions.tsv; analysis/motionplayer_v09_v15_crosscutting_final_audit_2026-08-28.md	Every original static ticket maps to coverage implementation/report fields; MP-V01 and MP-V02 provide the test/no-material decision denominator	No mapping gap; MP-V04 is verified and the two terminal external-evidence blockers are tracked independently by MP-V03 and MP-V05
MP-F07	建立差距生成规则 | 从总账生成待办：四端未定位、只取证未实现、实现无四端证据、生命周期不完整、容器选型不确定、边界未覆盖等	CLOSED_STATIC	MP-F07-FINAL-GAP-DENOMINATOR	analysis/motionplayer_v15_final_differences.tsv; analysis/motionplayer_v09_v15_crosscutting_final_audit_2026-08-28.md; analysis/motionplayer_tasks_status.tsv	The final difference set is reproducibly separated into three accepted platform boundaries, one ABI/compiler class, and two external differential-verification gaps; no shared-source semantic or IDA-transport blocker remains	Gap audit is complete; two external verification rows remain explicitly terminal EVIDENCE_BLOCKED under MP-V03 and MP-V05
MP-F08	清理完成状态定义 | 统一状态：`UNMAPPED`、`MAPPED_4_4`、`EVIDENCED_4_4`、`IMPLEMENTED`、`VERIFIED`、`PLATFORM_BOUNDARY`、`EVIDENCE_BLOCKED`	VERIFIED	MP-F08-FINAL-ACCEPTANCE	plan.md; analysis/motionplayer_coverage.tsv; analysis/motionplayer_tasks_status.tsv; analysis/motionplayer_v15_final_differences.tsv; analysis/motionplayer_final_reconstruction_report_2026-08-28.md	Status vocabulary and the complete 163-ticket denominator are defined; all rows now have terminal dispositions: 146 CLOSED_STATIC, 15 VERIFIED, and two explicit EVIDENCE_BLOCKED external-verification rows	No acceptance-ledger gap; MP-V03 and MP-V05 remain terminal evidence blockers and are not represented as successful Android executions
MP-A01	恢复 `motionplayer.dll` 静态 registrar、模块注册、重复注册和卸载边界	CLOSED_STATIC	MP-F01-ROOT-01; MP-F03-NCB-SURFACE-LEDGER	analysis/motionplayer_reconstruction_scope_and_roots_four_binary_2026-08-26.md; analysis/motionplayer_ncb_equivalence_ledger_2026-08-27.md; analysis/motionplayer_coverage_status_reconciliation_2026-08-27.md	Mapped to direct four-target IMPLEMENTED slices; runtime verification is tracked independently under MP-V	No task-local static gap; cross-category final audit reached its terminal disposition under MP-V15/MP-V16
MP-A02	恢复 `emoteplayer.dll` 预注册回调、模块依赖、注册顺序和失败边界	CLOSED_STATIC	MP-F01-ROOT-02; MP-A16-EMOTEPLAYER-NCB-SURFACE	analysis/motionplayer_emoteplayer_module_decrypt_root_four_binary_2026-08-27.md; analysis/motionplayer_reconstruction_scope_and_roots_four_binary_2026-08-26.md; analysis/motionplayer_emoteplayer_ncb_surface_four_binary_2026-08-27.md; analysis/motionplayer_coverage_status_reconciliation_2026-08-27.md	Mapped to direct four-target IMPLEMENTED slices; runtime verification is tracked independently under MP-V	No task-local static gap; cross-category final audit reached its terminal disposition under MP-V15/MP-V16
